V1 V2 pop country continent lang
Wayuu645 2526 844 Wayuu Colombia AMERICA Arawakan
Wayuu647 2527 844 Wayuu Colombia AMERICA Arawakan
Wayuu649 2528 844 Wayuu Colombia AMERICA Arawakan
Wayuu651 2529 844 Wayuu Colombia AMERICA Arawakan
Wayuu653 2530 844 Wayuu Colombia AMERICA Arawakan
Wayuu655 2531 844 Wayuu Colombia AMERICA Arawakan
Wayuu657 2532 844 Wayuu Colombia AMERICA Arawakan
Wayuu659 2534 844 Wayuu Colombia AMERICA Arawakan
Wayuu661 2535 844 Wayuu Colombia AMERICA Arawakan
Wayuu663 2536 844 Wayuu Colombia AMERICA Arawakan
Wayuu665 2538 844 Wayuu Colombia AMERICA Arawakan
Wayuu667 2539 844 Wayuu Colombia AMERICA Arawakan
Wayuu669 2540 844 Wayuu Colombia AMERICA Arawakan
TicunaArara671 2541 845 TicunaArara Colombia AMERICA Language-Isolate
TicunaArara673 2543 845 TicunaArara Colombia AMERICA Language-Isolate
TicunaArara675 2544 845 TicunaArara Colombia AMERICA Language-Isolate
TicunaArara677 2545 845 TicunaArara Colombia AMERICA Language-Isolate
TicunaArara679 2546 845 TicunaArara Colombia AMERICA Language-Isolate
TicunaArara681 2547 845 TicunaArara Colombia AMERICA Language-Isolate
TicunaArara683 2548 845 TicunaArara Colombia AMERICA Language-Isolate
TicunaArara685 2549 845 TicunaArara Colombia AMERICA Language-Isolate
TicunaArara687 2550 845 TicunaArara Colombia AMERICA Language-Isolate
TicunaArara689 2551 845 TicunaArara Colombia AMERICA Language-Isolate
TicunaArara691 2552 845 TicunaArara Colombia AMERICA Language-Isolate
TicunaArara693 2553 845 TicunaArara Colombia AMERICA Language-Isolate
TicunaArara695 2554 845 TicunaArara Colombia AMERICA Language-Isolate
TicunaArara697 2555 845 TicunaArara Colombia AMERICA Language-Isolate
TicunaArara699 2557 845 TicunaArara Colombia AMERICA Language-Isolate
TicunaArara701 2558 845 TicunaArara Colombia AMERICA Language-Isolate
TicunaArara703 2559 845 TicunaArara Colombia AMERICA Language-Isolate
Embera741 2561 847 Embera Colombia AMERICA Choco
Embera743 2562 847 Embera Colombia AMERICA Choco
Embera745 2563 847 Embera Colombia AMERICA Choco
Embera747 2564 847 Embera Colombia AMERICA Choco
Embera749 2565 847 Embera Colombia AMERICA Choco
Embera751 2566 847 Embera Colombia AMERICA Choco
Embera753 2568 847 Embera Colombia AMERICA Choco
Embera755 2569 847 Embera Colombia AMERICA Choco
Embera757 2570 847 Embera Colombia AMERICA Choco
Embera759 2571 847 Embera Colombia AMERICA Choco
Embera761 2574 847 Embera Colombia AMERICA Choco
Waunana763 2581 848 Waunana Colombia AMERICA Choco
Waunana765 2582 848 Waunana Colombia AMERICA Choco
Waunana767 2583 848 Waunana Colombia AMERICA Choco
Waunana769 2584 848 Waunana Colombia AMERICA Choco
Waunana771 2585 848 Waunana Colombia AMERICA Choco
Waunana773 2586 848 Waunana Colombia AMERICA Choco
Waunana775 2587 848 Waunana Colombia AMERICA Choco
Waunana777 2588 848 Waunana Colombia AMERICA Choco
Waunana779 2589 848 Waunana Colombia AMERICA Choco
Waunana781 2590 848 Waunana Colombia AMERICA Choco
Waunana783 2591 848 Waunana Colombia AMERICA Choco
Waunana785 2592 848 Waunana Colombia AMERICA Choco
Waunana787 2593 848 Waunana Colombia AMERICA Choco
Waunana789 2594 848 Waunana Colombia AMERICA Choco
Waunana791 2595 848 Waunana Colombia AMERICA Choco
Waunana793 2596 848 Waunana Colombia AMERICA Choco
Waunana795 2597 848 Waunana Colombia AMERICA Choco
Waunana797 2598 848 Waunana Colombia AMERICA Choco
Waunana799 2599 848 Waunana Colombia AMERICA Choco
Waunana801 2600 848 Waunana Colombia AMERICA Choco
Arhuaco803 2157 849 Arhuaco Colombia AMERICA Chibchan
Arhuaco805 2158 849 Arhuaco Colombia AMERICA Chibchan
Arhuaco807 2159 849 Arhuaco Colombia AMERICA Chibchan
Arhuaco809 2160 849 Arhuaco Colombia AMERICA Chibchan
Arhuaco811 2419 849 Arhuaco Colombia AMERICA Chibchan
Arhuaco813 2420 849 Arhuaco Colombia AMERICA Chibchan
Arhuaco815 2458 849 Arhuaco Colombia AMERICA Chibchan
Arhuaco817 2459 849 Arhuaco Colombia AMERICA Chibchan
Arhuaco819 2460 849 Arhuaco Colombia AMERICA Chibchan
Arhuaco821 2575 849 Arhuaco Colombia AMERICA Chibchan
Arhuaco823 2576 849 Arhuaco Colombia AMERICA Chibchan
Arhuaco825 2577 849 Arhuaco Colombia AMERICA Chibchan
Arhuaco827 2578 849 Arhuaco Colombia AMERICA Chibchan
Arhuaco829 2579 849 Arhuaco Colombia AMERICA Chibchan
Arhuaco831 2580 849 Arhuaco Colombia AMERICA Chibchan
Arhuaco833 2732 849 Arhuaco Colombia AMERICA Chibchan
Arhuaco835 2733 849 Arhuaco Colombia AMERICA Chibchan
Piapoco837 702 81 Piapoco Colombia AMERICA Arawakan
Piapoco839 703 81 Piapoco Colombia AMERICA Arawakan
Piapoco841 704 81 Piapoco Colombia AMERICA Arawakan
Piapoco843 705 81 Piapoco Colombia AMERICA Arawakan
Piapoco845 706 81 Piapoco Colombia AMERICA Arawakan
Piapoco847 707 81 Piapoco Colombia AMERICA Arawakan
Piapoco849 708 81 Piapoco Colombia AMERICA Arawakan
Piapoco851 709 81 Piapoco Colombia AMERICA Arawakan
Piapoco853 710 81 Piapoco Colombia AMERICA Arawakan
Piapoco855 792 81 Piapoco Colombia AMERICA Arawakan
Piapoco857 793 81 Piapoco Colombia AMERICA Arawakan
Piapoco859 827 81 Piapoco Colombia AMERICA Arawakan
Piapoco861 970 81 Piapoco Colombia AMERICA Arawakan
Karitiana863 995 82 Karitiana Brazil AMERICA Tupi
Karitiana865 996 82 Karitiana Brazil AMERICA Tupi
Karitiana867 997 82 Karitiana Brazil AMERICA Tupi
Karitiana869 998 82 Karitiana Brazil AMERICA Tupi
Karitiana871 999 82 Karitiana Brazil AMERICA Tupi
Karitiana873 1000 82 Karitiana Brazil AMERICA Tupi
Karitiana875 1001 82 Karitiana Brazil AMERICA Tupi
Karitiana877 1003 82 Karitiana Brazil AMERICA Tupi
Karitiana879 1004 82 Karitiana Brazil AMERICA Tupi
Karitiana881 1005 82 Karitiana Brazil AMERICA Tupi
Karitiana883 1006 82 Karitiana Brazil AMERICA Tupi
Karitiana885 1007 82 Karitiana Brazil AMERICA Tupi
Karitiana887 1008 82 Karitiana Brazil AMERICA Tupi
Karitiana889 1009 82 Karitiana Brazil AMERICA Tupi
Karitiana891 1010 82 Karitiana Brazil AMERICA Tupi
Karitiana893 1011 82 Karitiana Brazil AMERICA Tupi
Karitiana895 1012 82 Karitiana Brazil AMERICA Tupi
Karitiana897 1013 82 Karitiana Brazil AMERICA Tupi
Karitiana899 1014 82 Karitiana Brazil AMERICA Tupi
Karitiana901 1015 82 Karitiana Brazil AMERICA Tupi
Karitiana903 1016 82 Karitiana Brazil AMERICA Tupi
Karitiana905 1017 82 Karitiana Brazil AMERICA Tupi
